"id" "time" "group" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100"
"11" 3 0.4 0 0 7 67 8 11 218 19 50 15 0 37 0 0 12 96 651 77 7 51 71 17 19 4 4 3 352 16 3 25 2 0 295 0 13 4 3 0 34 4 0 0 5 56 4 41 1 2 30 9 50 2 6 26 151 0 36 0 0 8 71 1 24 26 27 35 31 11 20 4 42 1 4 33 24 0 1 32 4 10 14 19 104 18 8 5 0 64 1 17 1 1 45 0 35 5 1 4 22 30 3
"12" 3 0.6 0 0 11 78 8 29 73 11 34 40 2 51 0 1 5 128 923 36 6 106 60 43 15 0 3 1 474 6 11 42 1 0 647 3 24 7 3 3 52 6 1 2 4 41 1 8 0 9 69 4 18 2 4 59 181 5 18 7 0 1 77 1 69 15 84 38 108 4 13 5 25 3 5 77 37 4 5 20 22 16 8 24 157 14 14 7 1 17 3 12 0 2 22 3 26 14 2 1 12 26 1
"13" 4 0 0 1 48 89 5 3 33 20 26 19 0 34 1 2 2 201 39 15 21 6 13 1 18 11 29 1 44 123 55 22 2 21 11 3 2 4 3 10 7 10 5 3 4 0 4 69 1 1 34 3 14 11 0 8 42 4 12 0 3 10 14 25 41 84 9 9 19 4 7 0 13 6 1 12 2 2 1 19 5 56 2 5 219 12 56 0 2 28 5 38 6 4 3 9 2 9 27 7 3 13 10
"14" 4 0.2 0 0 54 29 1 4 39 7 31 9 0 28 1 2 3 277 101 21 25 23 17 0 16 35 19 0 36 130 46 47 0 13 18 11 7 6 1 21 39 6 12 1 4 1 2 54 1 4 25 5 6 4 0 12 86 1 27 1 0 5 4 11 93 67 19 12 22 15 9 1 12 11 0 11 0 1 1 35 8 25 0 5 89 15 56 0 0 15 8 27 5 1 2 4 2 8 23 9 6 46 14
"15" 4 0.4 0 5 77 45 3 7 31 11 20 36 4 34 0 7 3 185 107 30 28 9 33 13 40 16 12 0 18 64 60 58 0 22 8 7 8 6 1 4 16 18 6 5 7 3 23 78 0 0 14 5 11 14 0 18 67 8 19 3 7 3 20 13 79 131 34 14 42 14 13 3 25 15 1 8 2 5 2 63 2 60 0 3 161 27 36 0 3 38 3 39 10 7 2 6 5 8 13 7 2 18 11
"16" 4 0.6 0 0 48 62 7 7 34 8 48 18 2 19 5 2 3 362 77 16 55 29 18 3 17 13 52 1 89 86 36 18 0 5 6 9 7 5 2 19 19 8 9 10 7 3 14 103 0 5 10 6 11 6 0 26 96 3 13 1 5 4 11 8 121 118 27 22 37 9 12 3 11 5 0 8 1 1 1 19 19 30 0 12 135 28 58 2 5 42 6 36 9 2 20 9 6 41 43 6 3 54 20
"17" 5 0 0 3 14 36 21 2 44 34 15 11 8 32 4 11 3 1 29 5 19 339 9 10 6 4 17 1 97 238 53 59 1 4 308 11 0 11 2 6 6 8 1 0 6 6 3 68 0 9 74 4 20 1 0 164 2 2 101 0 4 15 0 29 244 46 486 0 18 11 50 0 1 0 13 47 3 3 2 58 6 82 0 7 47 3 81 3 3 4 4 9 2 1 16 1 6 7 2 2 2 49 3
"18" 5 0.2 0 2 6 46 50 0 41 15 8 8 1 104 2 36 4 20 11 50 89 188 7 12 10 6 7 2 67 234 52 16 0 0 129 10 7 11 4 11 12 6 1 2 3 4 5 138 0 15 43 8 16 3 0 408 2 3 27 0 3 7 1 21 73 41 148 5 14 15 20 0 1 0 4 23 3 0 8 157 14 49 0 1 35 1 36 1 10 3 14 27 11 0 19 0 6 26 3 1 1 16 6
"19" 5 0.4 0 8 7 36 81 2 41 25 10 9 7 57 2 12 5 6 25 14 55 136 51 23 9 20 7 2 112 169 97 59 1 1 338 18 7 24 10 5 5 26 0 0 2 11 0 50 2 13 233 6 19 0 2 53 4 3 72 0 2 10 2 36 251 176 156 8 42 11 20 0 3 0 11 88 7 1 9 66 4 32 0 1 341 1 80 2 12 4 8 25 1 1 31 3 12 3 2 5 5 128 23
"20" 5 0.6 0 7 7 56 189 0 53 19 10 8 11 115 4 24 7 4 8 11 27 265 26 15 11 20 21 5 232 211 36 39 1 1 300 3 8 28 3 7 39 32 8 0 0 24 10 191 0 4 69 17 25 2 3 372 6 1 40 1 7 8 0 17 145 225 366 2 58 19 36 0 1 1 11 48 3 10 17 160 13 101 0 4 129 0 43 11 7 3 10 34 8 0 26 2 11 10 9 3 6 71 40
"21" 6 0 0 2 1 59 8 2 34 18 0 6 0 175 0 2 1 177 15 5 2 9 27 202 2 12 4 7 19 12 19 34 2 5 28 5 15 6 1 5 4 4 0 3 0 11 1 62 4 16 9 3 11 0 17 239 41 4 5 0 75 1 12 1 13 28 86 8 30 57 21 4 1 19 11 42 7 0 0 7 11 6 8 10 6 9 233 5 18 13 1 11 0 2 24 1 6 5 63 4 3 20 7
"22" 6 0.2 0 5 5 53 6 3 9 6 5 6 3 388 3 4 4 55 25 1 2 7 11 134 1 8 0 2 23 17 31 18 2 8 8 9 8 3 1 9 3 2 0 4 1 13 0 34 1 37 11 3 3 0 4 164 78 2 12 3 79 1 13 4 19 22 49 9 40 145 28 8 2 17 33 33 7 0 1 9 8 6 20 13 1 20 310 8 11 13 0 11 1 1 17 4 22 1 71 3 6 6 16
"23" 6 0.4 0 3 13 39 5 3 31 9 6 3 1 160 2 1 6 72 10 2 0 21 20 172 1 14 3 11 11 18 8 18 0 24 58 5 7 0 0 1 2 3 0 3 3 4 7 23 6 35 11 2 4 0 5 214 12 12 18 0 59 3 35 3 44 36 63 5 76 52 31 7 5 25 22 39 10 3 3 5 19 1 22 11 2 34 240 9 10 11 8 6 2 5 15 3 8 0 96 2 11 17 7
"24" 6 0.6 0 3 18 61 6 3 20 20 4 14 6 330 2 3 3 309 43 5 0 9 40 146 1 6 13 5 57 23 50 47 2 25 23 8 16 5 2 8 0 4 0 2 2 21 1 85 4 71 36 9 8 0 5 524 38 3 18 3 54 4 42 2 53 23 45 10 118 146 47 7 8 45 21 29 7 1 0 7 19 12 15 10 2 53 38 27 1 6 4 5 0 0 3 2 17 1 203 2 37 19 18
"25" 7 0 0 1 6 11 11 17 47 9 3 3 0 7 5 6 1 103 23 13 34 167 24 47 1 9 3 0 16 84 3 18 2 17 140 1 5 2 0 4 4 2 0 0 28 3 2 3 2 3 118 0 2 0 0 57 51 14 31 4 6 1 106 2 28 12 16 8 46 13 41 4 18 7 8 41 1 1 1 50 48 8 4 4 56 15 597 0 0 31 4 4 3 2 15 0 10 90 18 4 23 97 17
"26" 7 0.2 0 2 19 3 13 11 34 9 6 5 1 32 2 1 2 49 33 44 29 69 30 15 3 17 2 0 24 136 5 5 6 45 63 2 6 4 1 3 4 9 0 0 50 0 3 12 5 2 153 0 6 0 1 61 139 2 36 10 20 2 163 3 28 15 16 7 76 16 29 3 30 13 5 17 1 0 0 15 29 8 2 1 93 38 249 0 2 25 1 7 1 6 31 2 12 35 17 8 10 56 6
"27" 7 0.4 0 4 10 9 4 25 67 11 4 3 1 15 0 1 7 76 66 42 54 81 17 15 3 9 0 7 20 132 6 14 2 60 89 1 5 2 3 18 11 1 8 0 53 0 5 9 5 2 89 0 2 0 3 45 33 39 21 3 21 2 41 2 42 11 29 8 81 16 46 1 11 24 7 10 0 1 2 24 48 17 0 5 90 10 397 1 0 29 4 6 5 2 18 1 12 27 68 7 2 20 6
"28" 7 0.6 0 8 11 27 19 23 36 23 13 3 0 27 2 1 5 58 52 94 34 122 59 22 3 13 0 0 10 58 7 57 2 45 118 1 18 4 0 7 16 6 1 1 89 2 1 5 7 4 62 3 7 2 2 41 56 6 32 6 29 5 261 0 22 5 23 8 65 6 18 6 12 11 22 23 0 1 1 82 59 5 6 1 49 15 506 3 1 12 5 7 2 2 19 2 28 27 15 4 4 135 12
"29" 8 0 0 0 9 19 12 26 37 0 9 84 0 77 57 4 3 117 22 11 39 33 1 7 1 7 1 2 44 4 23 59 1 1 10 1 0 6 15 2 13 8 1 4 1 5 1 0 1 5 202 0 4 3 2 14 104 5 8 0 25 2 189 15 38 10 354 15 16 18 23 4 0 2 0 8 5 2 0 71 6 17 2 7 28 55 37 0 5 50 3 46 3 1 33 3 102 2 26 4 7 732 4
"30" 8 0.2 0 1 5 24 62 17 52 1 17 40 6 124 33 2 4 50 42 8 30 182 16 13 4 33 4 1 42 63 26 36 1 7 20 0 1 3 4 2 7 2 0 2 3 12 2 6 2 3 595 1 8 1 6 21 113 9 5 2 22 3 100 9 32 14 224 10 9 35 28 5 1 1 0 9 6 3 0 45 15 57 0 16 89 167 39 0 3 49 4 36 6 0 17 4 34 19 19 7 13 206 2
"31" 8 0.4 0 1 10 46 19 20 39 1 9 191 1 114 68 7 10 72 29 9 21 62 4 13 1 10 1 0 79 46 41 85 2 10 31 1 1 23 7 4 13 8 0 8 12 17 3 5 3 2 402 2 13 0 1 7 160 1 1 0 12 7 231 6 52 32 893 24 22 21 49 8 3 6 1 6 8 0 0 50 23 15 1 9 208 258 52 3 2 20 8 51 3 1 11 1 32 10 21 13 13 197 13
"32" 8 0.6 0 2 17 8 14 34 30 0 14 66 7 75 30 8 1 105 81 8 20 183 7 12 10 13 0 1 61 9 31 83 3 4 25 0 1 18 6 6 15 3 1 9 14 6 2 1 0 14 382 7 3 0 2 12 100 5 0 0 11 5 483 6 12 18 494 4 53 16 44 13 0 7 3 11 4 4 0 126 27 31 1 3 58 149 44 1 1 35 6 34 6 2 40 3 152 6 29 26 12 597 9
"33" 9 0 0 2 3 52 24 81 13 8 1 15 7 8 15 6 0 109 13 17 39 29 203 4 3 3 4 2 62 165 5 10 2 17 61 4 2 10 1 16 1 3 1 0 6 9 0 17 0 23 34 0 5 5 7 53 28 2 24 1 6 2 83 3 7 11 33 7 26 9 21 1 20 0 3 3 3 1 2 11 7 34 0 4 344 30 27 1 2 9 3 88 8 3 8 0 2 3 54 4 3 384 3
"34" 9 0.2 0 0 1 78 11 37 46 17 3 9 4 22 3 2 4 191 23 26 32 125 172 4 16 7 7 9 160 108 7 11 3 3 37 2 4 6 0 13 5 9 2 1 7 14 0 23 3 11 9 1 4 2 15 26 26 2 29 0 4 3 85 30 4 2 89 6 22 10 13 0 15 1 5 7 3 1 3 0 33 41 1 2 228 30 31 2 1 10 1 18 14 1 16 0 6 5 68 1 12 325 0
"35" 9 0.4 0 3 3 110 83 49 55 9 6 3 5 11 7 3 2 55 5 23 27 66 197 10 7 17 9 3 90 185 4 29 5 13 20 8 19 5 0 10 2 15 1 5 4 12 0 56 0 13 46 2 1 2 15 28 22 2 60 0 4 2 132 2 11 14 48 4 19 41 23 0 16 1 2 33 1 2 0 19 42 120 1 4 148 17 90 0 0 6 1 52 8 4 16 0 11 2 49 0 13 277 6
"36" 9 0.6 0 7 3 88 45 37 119 11 19 10 6 21 3 2 5 64 11 64 19 172 138 10 5 9 13 2 103 275 10 14 2 15 26 1 2 4 3 24 5 9 1 1 9 7 0 24 0 22 9 2 10 12 12 35 32 10 31 0 9 2 130 7 11 20 57 3 19 21 52 0 22 1 4 14 5 0 1 12 17 94 1 5 133 83 29 3 4 9 0 12 17 4 7 0 10 2 43 14 12 292 3
"37" 10 0 0 6 2 61 12 8 26 56 25 53 0 45 34 0 14 48 22 33 27 282 3 24 17 5 4 0 10 6 8 4 5 8 90 1 14 3 0 10 4 0 2 0 1 5 4 133 3 5 17 0 6 2 1 13 16 5 3 1 4 5 4 2 59 124 21 5 65 6 56 8 3 1 10 5 8 1 4 12 9 7 11 47 117 18 67 5 18 15 6 23 4 0 31 6 0 13 9 6 10 145 2
"38" 10 0.2 0 2 5 83 64 2 169 67 59 15 0 33 18 0 11 48 8 13 13 146 3 37 31 23 10 0 15 24 38 9 2 8 152 6 30 2 1 7 0 0 5 3 3 6 2 108 0 6 11 2 7 2 7 26 7 5 9 0 5 3 8 6 96 72 11 13 61 10 58 12 6 1 14 4 10 1 7 9 10 4 8 27 60 78 441 8 18 78 5 33 5 2 58 3 2 27 9 5 23 149 2
"39" 10 0.4 0 2 5 182 50 1 32 78 49 40 1 28 1 1 7 73 32 73 60 106 18 45 61 3 7 1 12 9 3 18 2 3 140 2 11 2 0 20 2 1 0 2 6 4 6 183 2 10 21 0 5 0 1 23 17 15 3 4 1 4 24 7 135 153 20 11 58 4 26 6 7 1 4 4 8 3 11 6 5 4 9 28 31 28 164 5 22 12 1 12 30 1 30 2 3 31 11 3 27 145 13
"40" 10 0.6 0 5 2 73 23 1 51 75 53 59 0 24 25 0 16 116 28 57 16 126 9 59 15 7 15 1 13 16 5 4 4 11 191 2 22 5 0 9 1 0 3 1 2 3 13 288 0 7 6 0 9 0 3 44 23 10 5 0 1 9 11 6 84 97 33 5 12 6 13 2 7 3 21 1 44 3 5 5 6 9 8 27 41 44 642 4 21 10 1 19 9 2 25 3 8 19 20 11 67 174 30
"41" 11 0 1 0 8 14 9 3 59 19 14 3 2 12 1 2 1 20 55 2 10 30 14 2 11 55 40 2 45 6 40 7 2 22 27 5 3 6 0 2 13 2 3 6 1 9 2 226 2 0 5 0 0 15 1 98 68 4 13 13 7 1 9 0 63 29 126 9 48 23 48 3 27 1 6 14 4 0 0 4 1 19 0 5 19 13 11 15 15 234 19 21 2 3 20 1 12 4 54 0 0 465 10
"42" 11 0.2 1 2 10 21 9 1 41 38 3 2 1 38 1 2 3 45 154 6 3 25 6 13 1 42 48 6 44 21 17 55 5 14 52 0 2 5 0 6 8 2 1 4 1 22 1 380 7 3 2 0 4 8 0 231 54 5 18 5 1 2 7 4 77 19 50 5 136 8 29 2 10 0 5 15 6 0 3 0 0 2 0 18 19 10 5 8 8 162 8 13 1 2 50 1 6 20 59 3 1 842 15
"43" 11 0.4 1 3 12 22 3 4 121 16 18 2 4 75 5 6 4 35 358 4 9 40 21 4 8 119 55 1 199 16 9 96 1 8 20 8 4 2 1 12 11 0 1 6 2 31 3 89 3 3 11 1 4 9 0 345 82 61 8 5 6 2 9 5 424 26 66 7 131 25 27 2 24 2 2 21 10 0 6 3 0 27 0 4 35 12 22 6 5 394 18 14 1 0 32 1 13 9 121 3 0 162 7
"44" 11 0.6 1 4 5 13 9 2 67 34 14 8 0 44 1 1 2 42 86 7 9 84 19 4 16 77 38 5 146 8 29 140 1 17 38 7 3 3 0 3 23 4 2 8 5 20 5 131 3 2 18 1 1 1 0 482 37 15 31 4 3 6 3 4 224 19 69 7 206 52 14 2 23 2 11 24 3 1 0 5 0 30 0 10 82 24 18 12 12 1024 87 23 7 0 123 3 15 9 74 3 0 600 4
"45" 12 0 1 0 2 18 3 7 44 2 0 19 2 46 6 1 8 119 54 8 6 2 14 28 15 12 1 0 19 24 1 33 1 7 3 4 2 6 0 19 0 4 0 4 5 2 8 22 0 2 8 4 4 7 1 18 6 15 9 0 2 1 10 0 12 48 24 3 43 4 10 20 48 25 4 2 5 5 1 21 14 248 1 6 13 49 75 0 3 16 29 3 1 4 65 6 3 5 0 1 8 40 29
"46" 12 0.2 1 0 0 24 3 15 54 2 1 19 1 88 3 0 5 95 40 13 2 1 29 19 2 23 0 1 36 43 13 20 2 5 3 3 6 2 0 24 2 3 1 10 0 0 17 13 4 6 40 1 0 12 1 4 0 6 0 0 1 4 22 2 23 82 14 4 55 4 5 3 7 5 8 4 4 3 4 44 20 180 0 2 12 57 70 1 1 4 11 5 2 3 53 0 4 17 4 0 4 33 12
"47" 12 0.4 1 1 3 41 3 2 58 3 3 40 0 162 6 3 2 330 21 17 4 1 16 16 4 7 2 1 20 48 11 67 3 13 10 4 3 14 0 7 0 1 0 7 0 3 12 17 0 6 32 0 8 9 2 6 1 8 5 1 0 2 18 1 25 42 16 2 70 23 4 23 34 5 3 1 3 8 4 56 5 401 0 2 27 110 80 0 8 2 2 15 1 10 71 1 3 14 1 6 6 30 8
"48" 12 0.6 1 1 1 35 2 18 27 0 8 50 1 61 14 1 17 103 86 9 17 3 49 37 15 12 0 2 15 51 3 72 1 9 20 7 7 8 0 13 2 3 0 18 3 0 7 47 0 12 100 2 5 20 6 2 4 5 4 1 1 2 21 1 17 89 39 3 28 5 19 10 40 18 3 1 18 11 3 25 10 1026 1 0 19 118 48 0 6 4 9 11 6 5 52 0 0 37 1 1 1 108 16
"49" 13 0 1 1 11 17 4 27 26 2 5 28 3 31 28 2 4 22 17 113 24 16 4 7 1 6 14 3 177 8 9 30 0 20 4 1 0 2 1 4 1 12 2 1 0 1 2 63 1 3 94 1 3 3 36 12 11 7 13 2 8 2 108 8 12 21 1 1 62 4 77 0 10 6 9 2 15 0 0 15 8 31 5 11 2 124 68 1 2 414 1 2 3 4 39 5 23 5 8 1 1 170 13
"50" 13 0.2 1 2 15 12 3 5 21 3 12 18 0 52 42 3 1 6 31 74 44 18 17 7 1 3 14 1 95 14 14 50 0 6 12 0 3 2 2 7 1 6 0 1 2 4 4 29 1 2 242 1 1 7 45 20 14 3 17 1 1 0 61 10 5 19 4 8 28 2 67 2 20 7 13 9 5 5 2 28 10 23 2 2 4 64 52 1 3 623 0 0 22 6 118 5 35 3 4 4 6 145 22
"51" 13 0.4 1 2 7 33 2 36 19 3 19 6 3 9 29 1 2 33 43 116 25 26 10 7 3 6 8 5 67 49 7 53 1 17 3 0 3 0 1 9 5 2 0 1 1 4 21 30 3 5 223 0 4 14 25 22 6 10 64 0 9 0 187 4 12 4 1 3 86 4 215 1 6 22 20 8 13 1 4 23 11 41 2 3 5 131 80 1 2 632 8 3 7 1 90 0 127 13 7 14 8 154 31
"52" 13 0.6 1 1 14 8 4 28 45 3 15 9 2 50 31 7 1 53 43 280 59 95 36 16 2 12 13 8 52 21 6 217 0 10 14 0 3 0 0 16 0 11 0 3 2 5 12 217 1 5 100 5 2 19 17 4 18 2 27 1 7 0 229 21 5 14 4 3 131 8 48 2 8 14 26 10 11 6 0 18 12 80 7 24 8 87 158 3 5 504 8 4 7 8 158 2 69 9 2 12 6 223 77
"53" 14 0 1 2 28 16 11 4 55 8 3 23 0 18 4 2 5 61 7 8 64 81 12 21 2 0 4 2 38 22 1 22 2 4 34 1 2 1 1 2 1 12 1 4 4 2 6 2 1 14 27 0 67 13 2 15 48 5 1 1 5 0 2 6 15 12 47 8 162 115 19 2 37 2 10 23 13 1 1 45 17 624 4 1 288 91 22 4 6 10 37 5 1 4 52 2 0 0 8 4 5 46 51
"54" 14 0.2 1 9 6 107 23 23 57 0 12 20 0 25 3 2 1 10 11 8 52 91 17 33 1 2 1 0 17 40 2 16 0 3 31 1 0 0 0 4 1 8 0 6 3 6 10 8 1 5 8 3 102 3 10 5 65 6 4 2 10 4 6 8 17 15 18 18 204 218 20 4 22 8 8 55 20 1 1 27 20 2772 0 0 198 65 59 1 6 24 26 16 3 13 84 1 3 3 17 3 3 41 67
"55" 14 0.4 1 6 4 47 20 10 18 2 6 18 0 14 4 1 2 13 4 10 21 247 41 25 6 1 1 2 41 48 2 21 3 9 14 0 5 0 0 5 3 23 0 6 2 9 2 5 3 5 12 0 86 2 10 9 44 6 1 3 7 4 2 4 13 16 31 21 70 101 44 6 52 28 9 76 15 0 0 75 20 887 10 0 658 27 23 4 44 33 32 10 0 12 112 1 3 1 6 6 8 20 30
"56" 14 0.6 1 4 2 19 15 9 56 1 14 21 0 32 3 2 1 16 13 14 36 392 11 13 20 5 8 0 54 18 3 36 1 6 33 0 4 1 2 0 0 13 2 10 1 3 5 10 0 2 39 5 41 8 16 4 69 12 12 5 11 5 2 7 32 11 50 17 157 114 27 3 131 22 9 62 5 3 3 38 27 8675 6 3 341 23 17 13 9 28 51 10 0 9 69 1 7 2 21 6 13 128 56
"57" 15 0 1 1 2 20 13 5 58 0 11 14 2 3 45 0 15 388 258 9 13 212 22 3 28 8 3 2 80 31 6 15 0 23 81 1 6 1 1 27 2 6 2 3 4 1 1 62 0 8 36 1 2 7 0 34 12 10 75 0 25 1 43 2 32 108 140 34 24 1 6 1 2 4 9 31 1 3 2 51 4 41 3 15 58 110 71 9 22 22 7 2 1 1 7 0 0 8 7 0 2 397 0
"58" 15 0.2 1 2 6 21 12 2 66 0 7 30 1 22 32 0 5 121 525 17 1 161 23 7 58 12 17 5 34 64 13 10 1 16 14 3 2 7 2 17 2 10 0 1 3 0 1 75 0 7 193 1 2 3 0 46 36 8 90 0 32 1 33 13 18 80 274 17 19 2 9 2 1 2 30 12 2 1 1 62 7 29 6 3 29 222 46 7 41 18 4 2 1 3 16 1 0 25 1 1 4 290 2
"59" 15 0.4 1 2 5 24 2 26 211 0 9 26 2 20 80 1 3 249 244 16 20 206 21 45 77 3 18 0 45 94 10 9 0 17 53 1 3 4 2 64 3 6 1 1 4 2 0 142 0 5 57 2 0 1 1 21 36 15 189 0 18 5 25 8 29 70 195 28 36 0 2 0 6 2 40 21 2 1 1 189 4 80 2 3 24 404 63 6 26 30 12 5 2 7 5 0 3 18 3 0 6 175 0
"60" 15 0.6 1 3 1 39 11 32 238 1 8 33 3 39 54 0 25 720 87 12 10 79 16 12 60 8 8 1 30 123 21 20 0 23 19 2 2 0 0 91 7 5 2 14 2 0 0 163 0 9 108 2 4 1 0 70 32 5 51 1 17 4 35 14 8 124 190 45 46 2 5 1 9 1 29 93 2 2 1 112 2 280 5 13 40 222 60 17 41 12 10 5 1 5 12 1 0 5 5 1 6 309 2
"61" 16 0 1 5 18 8 6 5 49 19 17 7 1 10 2 0 9 12 311 47 16 31 20 95 4 16 2 0 68 32 1 137 0 16 12 2 2 19 1 10 41 10 5 12 3 8 28 82 19 5 17 4 1 3 1 16 74 3 12 3 1 2 36 1 59 33 8 4 4 31 26 0 0 4 1 35 4 1 7 44 2 26 0 2 114 135 32 6 0 35 0 27 19 5 9 3 6 5 50 0 1 43 9
"62" 16 0.2 1 1 16 25 13 3 79 43 19 4 1 1 1 1 3 14 53 35 43 18 10 67 7 8 0 3 138 7 7 231 2 76 9 8 2 30 0 5 49 6 0 26 12 7 32 123 9 9 47 1 9 9 1 9 65 0 29 1 2 2 6 1 46 74 13 0 4 45 42 0 0 20 0 14 9 3 3 57 3 55 0 1 431 129 43 5 0 20 0 14 5 9 12 4 2 4 17 0 4 44 13
"63" 16 0.4 1 4 18 18 17 1 53 26 22 10 1 5 0 1 9 36 218 54 52 34 10 97 4 16 2 0 82 43 2 293 1 120 17 1 6 8 0 3 51 17 1 8 14 26 23 85 15 31 53 4 12 27 4 26 96 1 13 0 8 1 9 3 32 60 19 1 12 34 9 1 1 4 2 68 4 2 3 71 0 160 0 5 366 396 25 3 0 26 3 34 12 7 32 1 3 10 41 0 3 22 11
